,T_in,m_flow_in
374,323.1255,13.949420000000002
375,323.05392,13.969918
376,322.93567,13.985164000000001
377,322.77155,13.995099
378,322.56273999999996,13.999673999999999
379,322.31104,13.998844
380,322.01852,13.992573000000002
381,321.6878,13.980832999999999
382,321.3218,13.963601999999998
383,320.9239,13.9408655
384,320.49773999999996,13.912619
385,320.04745,13.878862
386,319.57727,13.839607
387,319.0918,13.794870999999999
388,318.59576,13.744682000000001
389,318.09415,13.689073
390,317.59195,13.628088
391,317.09432999999996,13.561778
392,316.60635,13.490205
393,316.13312,13.413437
394,315.6796,13.331551000000001
395,315.2506,13.244632999999999
396,314.8508,13.152779
397,314.48453,13.056091
398,314.15587999999997,12.954680999999999
399,313.86856,12.848671000000001
400,313.62585,12.738189
401,313.4307,12.62337
402,313.28542999999996,12.504362
403,313.192,12.381317999999998
404,313.15167,12.254399000000001
405,313.16528,12.1237755
406,313.23303,11.989623
407,313.35455,11.852128
408,313.52884,11.711481
409,313.75427,11.567883
410,314.02878,11.421536999999999
411,314.34955,11.272658
412,314.71338,11.121466
413,315.1164,10.968183999999999
414,315.55435,10.813044999999999
415,316.02252000000004,10.656282000000001
416,316.5158,10.498141
417,317.02872,10.338866000000001
418,317.5555,10.17871
419,318.09024,10.017926
420,318.6268,9.856774
421,319.15897,9.695517
422,319.6805,9.534417999999999
423,320.18527,9.373747
424,320.66724,9.213773
425,321.1206,9.054768
426,321.5398,8.897002
427,321.91965,8.740751
428,322.25537,8.586288
429,322.54266,8.433887
430,322.77777000000003,8.283818
431,322.95755,8.1363535
432,323.07944,7.9917636
433,323.14166,7.850314599999999
434,323.14304,7.7122706999999995
435,323.08316,7.5778933
436,322.96246,7.447439
437,322.782,7.321161
438,322.5437,7.1993065000000005
439,322.25015,7.082117599999999
440,321.9047,6.969831
441,321.51138,6.8626766
442,321.0749,6.760876700000001
443,320.60046,6.6646466
444,320.0939,6.5741935
445,319.56155,6.489715
446,319.01,6.4114017
447,318.44632,6.339432700000001
448,317.8777,6.273978
449,317.31146,6.2151966
450,316.75504,6.1632370000000005
451,316.21576,6.1182360000000005
452,315.7008,6.080319
453,315.21713,6.0495980000000005
454,314.7713,6.026174
455,314.36947999999995,6.0101337
456,314.01727,6.0015507
457,313.71972999999997,6.000486
458,313.48114,6.006985
459,313.30508,6.02108
460,313.1943,6.0427885
461,313.15067,6.0721126
462,313.17523,6.1090406999999995
463,313.26797,6.1535454000000005
464,313.42807,6.205583
465,313.65366,6.265097
466,313.94202,6.3320127
467,314.2895,6.4062410000000005
468,314.69153,6.487678
469,315.14282000000003,6.576203
470,315.63732999999996,6.67168
471,316.16823999999997,6.7739587
472,316.72827,6.882872
473,317.3096,6.998239
474,317.90405,7.1198625999999985
475,318.50314,7.2475314
476,319.09827,7.3810199999999995
477,319.6808,7.5200877
478,320.24222000000003,7.664481599999999
479,320.7742,7.813933400000001
480,321.26886,7.9681625
481,321.71866,8.126876
482,322.11672999999996,8.289767999999999
483,322.45694,8.456522
484,322.73386,8.626809
485,322.94305,8.800289999999999
486,323.08099999999996,8.976616
487,323.14522999999997,9.155429
488,323.13437000000005,9.336362
489,323.04816,9.519039
490,322.8875,9.703078
491,322.65445,9.888092
492,322.35213999999996,10.073685000000001
493,321.98483,10.259458
494,321.55786,10.445007
495,321.07748,10.629927
496,320.55084,10.813807
497,319.9859,10.996239
498,319.39127,11.176810000000001
499,318.7761,11.355111
500,318.15,11.530733999999999
501,317.52277000000004,11.703271
502,316.90436,11.872319000000001
503,316.30466,12.037479
504,315.7333,12.1983595
505,315.19965,12.354569999999999
506,314.71246,12.505734
507,314.27982000000003,12.651477
508,313.9091,12.791438000000001
509,313.60657000000003,12.925263000000001
510,313.37753,13.052614
511,313.2262,13.173160000000001
512,313.15542999999997,13.286585
513,313.16677999999996,13.392586999999999
514,313.26052999999996,13.490879999999999
515,313.43557999999996,13.581192999999999
516,313.6894,13.66327
517,314.01816,13.736875
518,314.41677999999996,13.801787
519,314.87888,13.85781
520,315.397,13.904760000000001
521,315.96268,13.942479999999998
522,316.5665,13.970829
523,317.19833,13.989691
524,317.8476,13.998970000000002
525,318.50314,13.998595000000002
526,319.15372,13.988516
527,319.78806000000003,13.968708
528,320.39505,13.939169
529,320.964,13.899920999999999
530,321.48474,13.851011999999999
531,321.9479,13.792514
532,322.34503,13.724521
533,322.6688,13.647155
534,322.91306000000003,13.560562
535,323.0731,13.464913000000001
536,323.1456,13.360401000000001
537,323.12885,13.247248
538,323.0227,13.125693
539,322.82858,12.996007
540,322.54956,12.858477
541,322.1903,12.713417
542,321.75696,12.561162
543,321.257,12.402068
544,320.6993,12.236512
545,320.09384,12.064893
546,319.45153999999997,11.887626
547,318.7841,11.705147
548,318.10376,11.517907000000001
549,317.42316,11.326377
550,316.75504,11.131039999999999
551,316.11197000000004,10.932395
552,315.5062,10.730952
553,314.9493,10.527235000000001
554,314.4521,10.321778
555,314.02432000000005,10.115124
556,313.6745,9.907822
557,313.40967,9.700428
558,313.23535,9.493506
559,313.15533,9.28762
560,313.1716,9.083333999999999
561,313.28436,8.881217999999999
562,313.49182,8.681836
563,313.79047,8.48575
564,314.17487,8.293517999999999
565,314.63788,8.105691
566,315.17075,7.922813400000001
567,315.76333999999997,7.745419
568,316.40414,7.5740300000000005
569,317.0807,7.409157
570,317.77963,7.251295
571,318.4871,7.100924000000001
572,319.1889,6.958506599999999
573,319.8709,6.8244853
574,320.51926000000003,6.6992826
575,321.1206,6.583298700000001
576,321.66254,6.47691
577,322.1337,6.38047
578,322.52414,6.294303
579,322.8254,6.218707599999999
580,323.03094,6.153954
581,323.13602000000003,6.1002827
582,323.138,6.0579023
583,323.03632000000005,6.0269904
584,322.83267,6.0076922999999995
585,322.53076,6.0001197
586,322.13653999999997,6.004349700000001
587,321.65783999999996,6.020425299999999
588,321.10437,6.048354
589,320.4875,6.088108
590,319.82,6.139623
591,319.11597,6.202799
592,318.39017,6.277499
593,317.65814,6.363551599999999
594,316.93555,6.4607477
595,316.23804,6.5688434
596,315.5808,6.687558
597,314.97836,6.8165784
598,314.444,6.955553999999999
599,313.98972000000003,7.104103599999999
600,313.62585,7.2618117
601,313.36084,7.428230999999999
602,313.2009,7.6028839999999995
603,313.1501,7.785263499999999
604,313.21002000000004,7.9748339999999995
605,313.37987999999996,8.171033999999999
606,313.65637000000004,8.373275999999999
607,314.0338,8.580947
608,314.50412,8.793417
609,315.0572,9.010031
610,315.6809,9.230118
611,316.36142,9.45299
612,317.0836,9.677946
613,317.8311,9.904272
614,318.587,10.131245
615,319.334,10.358132000000001
616,320.05492999999996,10.5842
617,320.73303,10.808705999999999
618,321.3524,11.030914
619,321.89844,11.250085
620,322.35812000000004,11.465486
621,322.72033999999996,11.676391
622,322.9762,11.882083999999999
623,323.1192,12.0818615
624,323.14547999999996,12.275033
625,323.05392,12.460925999999999
626,322.8462,12.638888
627,322.52664,12.808288000000001
628,322.10247999999996,12.968517
629,321.5833,13.118998000000001
630,320.98117,13.259176
631,320.31018,13.388534
632,319.58617999999996,13.506582
633,318.82645,13.612870000000001
634,318.04922,13.706983
635,317.27335,13.788545000000001
636,316.5177,13.857220000000002
637,315.80087000000003,13.912716
638,315.14056,13.954784
639,314.55328,13.983220000000001
640,314.05383,13.997865
641,313.65494,13.998610000000001
642,313.36688,13.985389999999999
643,313.19732999999997,13.958193
644,313.15103,13.917054
645,313.22968,13.862059
646,313.4318,13.793342
647,313.75284,13.711088
648,314.18523999999996,13.615533
649,314.71854,13.506960000000001
650,315.33957000000004,13.385701999999998
651,316.033,13.252142000000001
652,316.78137000000004,13.106705999999999
653,317.5658,12.949869999999999
654,318.36633,12.782153
655,319.16238,12.604117
656,319.93347,12.416367999999999
657,320.6595,12.219548
658,321.3214,12.014339999999999
659,321.90176,11.801464
660,322.38504,11.581669
661,322.75824,11.355738
662,323.01105,11.124481
663,323.13635,10.888735
664,323.1303,10.649359
665,322.99252,10.407229
666,322.7261,10.163242
667,322.33762,9.918305
668,321.83688,9.673337
669,321.23688,9.429261
670,320.55325,9.187005000000001
671,319.80408,8.947496000000001
672,319.00928,8.711657
673,318.19016,8.480400999999999
674,317.36884,8.254635
675,316.56763,8.035245
676,315.80847,7.823102499999999
677,315.1123,7.6190553
678,314.49844,7.423926400000001
679,313.98416000000003,7.2385087
680,313.58398,7.0635633
681,313.30945,6.899814599999999
682,313.1687,6.7479496
683,313.16617,6.6086116
684,313.3025,6.4823995000000005
685,313.57443,6.369864499999999
686,313.9749,6.2715062999999995
687,314.49316,6.1877723
688,315.11514,6.119055
689,315.82364,6.0656886
690,316.59893999999997,6.0279484000000005
691,317.4193,6.006048000000001
692,318.26157,6.00014
693,319.10177999999996,6.010312
694,319.91582999999997,6.036588
695,320.68032999999997,6.0789256
696,321.373,6.1372175
697,321.9736,6.2112904
698,322.46442,6.3009048
699,322.83075,6.4057555
700,323.06143,6.525474
701,323.14923,6.659625999999999
702,323.091,6.8077164
703,322.88788,6.969187299999999
704,322.54526,7.143422599999999
705,322.0727,7.3297479999999995
706,321.4836,7.5274353000000005
707,320.79504,7.7357024999999995
708,320.027,7.953719
709,319.20212000000004,8.180607
710,318.34472999999997,8.415446000000001
711,317.4804,8.657275
712,316.63507000000004,8.905097999999999
713,315.8342,9.157886
714,315.10217,9.414582000000001
715,314.46136,9.674108
716,313.9316,9.935362
717,313.5294,10.197231
718,313.2675,10.458591
719,313.15442,10.718314999999999
720,313.1943,10.975272
721,313.3864,11.228339
722,313.7255,11.476399
723,314.20157,11.718355
724,314.80048,11.953125
725,315.50412,12.179654
726,316.29092,12.396914500000001
727,317.13675,12.603917
728,318.01532000000003,12.799706
729,318.8992,12.983376
730,319.76068,13.154062
731,320.57248,13.310958
732,321.30875,13.453312
733,321.94595,13.580430999999999
734,322.4634,13.691689000000002
735,322.8442,13.786523999999998
736,323.07568,13.864448999999999
737,323.1499,13.925045
738,323.0638,13.967975
739,322.81964,13.992976
740,322.42465,13.999866500000001
741,321.89102,13.988547
742,321.23553,13.959000000000001
743,320.47902999999997,13.911292999999999
744,319.64575,13.845576000000001
745,318.76263,13.762084
746,317.85837000000004,13.661137
747,316.96255,13.543135999999999
748,316.10468,13.408563000000001
749,315.3132,13.257984
750,314.61447000000004,13.092042
751,314.032,12.911453
752,313.58563,12.717011
753,313.29065,12.509577
754,313.1575,12.290078999999999
755,313.19122000000004,12.059509
756,313.39133,11.818916999999999
757,313.75165,11.569408000000001
758,314.26068,11.312136
759,314.90176,11.048297
760,315.65362999999996,10.779129
761,316.49118,10.505902
762,317.3862,10.229913
763,318.30838,9.952481
764,319.22623,9.67494
765,320.1083,9.398632000000001
766,320.92413,9.124901
767,321.64536,8.855087
768,322.24672999999996,8.590522
769,322.707,8.332514
770,323.00964,8.082353
771,323.1436,7.8412933
772,323.10355,7.610556
773,322.8903,7.391317
774,322.51068,7.184701
775,321.97742,6.991778
776,321.30875,6.813556
777,320.52783,6.650976700000001
778,319.66183,6.504907
779,318.74118,6.376138
780,317.79843,6.265378
781,316.8671,6.173249
782,315.9805,6.1002812
783,315.1705,6.0469127
784,314.46652,6.0134845
785,313.8942,6.0002365
786,313.4747,6.0073094000000005
787,313.2237,6.034739
788,313.15088,6.082457499999999
789,313.25955,6.1502934
790,313.5464,6.2379690000000005
791,314.00153,6.3451037
792,314.60895,6.471214
793,315.34692,6.615713599999999
794,316.18875,6.7779193
795,317.1038,6.9570503
796,318.05852999999996,7.152233
797,319.01776,7.3625050000000005
798,319.9459,7.586817999999999
799,320.80835,7.824046000000001
800,321.57272,8.072986
801,322.21013999999997,8.332365
802,322.69626,8.600853
803,323.0123,8.877056
804,323.1458,9.159538000000001
805,323.09112999999996,9.446816
806,322.8496,9.737376
807,322.4298,10.0296755
808,321.84705,10.322154
809,321.12292,10.613242
810,320.28458,10.901369
811,319.36368,11.184968
812,318.3952,11.462491
